Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
20,128.4681866115355,273.4894048263698,4.716167854350394,-0.32968978504816837,0.08333333333333326,0.10999999999999999,0.056666666666666664,5112.888888888889,0.00025310517497360835,0.00025310517497360835,0.00025310517497360835,20_19:0.006020070295000068; 20_21:0.012461093975310755,20_19:512; 20_21:561.7777777777777
21,126.58159807787484,115.4318313027581,4.752268255855897,-0.3340373730508873,0.15369999999999995,0.1396,0.16779999999999995,5112.888888888889,0.0003387644459859131,0.0003387644459859131,0.0003387644459859131,21_12:0.008506749010427389; 21_22:0.006917600101481569; 21_20:0.012461093975310755,21_12:561.7777777777777; 21_22:561.7777777777777; 21_20:512
22,226.30627174039716,319.950274224934,4.901808580954733,-0.3318766672900718,0.07299999999999995,0.07999999999999996,0.066,5112.888888888889,0.0002531044026430504,0.0002531044026430504,0.0002531044026430504,22_21:0.006917600101481569; 22_23:0.017858657212322104,22_21:512; 22_23:512
23,200.77313984041834,179.10950394385458,4.859123238104671,-0.3307384436863861,0.1915,0.1794,0.2036,5112.888888888889,0.00023415581742572042,0.00023415581742572042,0.00023415581742572042,23_22:0.017858657212322104; 23_26:0.02062013597428322,23_22:561.7777777777777; 23_26:561.7777777777777
24,175.81919178496167,197.24052845187308,4.850323857928431,-0.3308873183311487,0.02729999999999999,0.03539999999999999,0.0192,5112.888888888889,0.00016919440113660037,0.00016919440113660037,0.00016919440113660037,24_15:0.015908777531665946; 24_29:1,24_15:512; 24_29:561.7777777777777
25,167.70877333190754,260.58076421250985,4.657899079998718,-0.33359382762676704,0.016666666666666607,0.026666666666666616,0.006666666666666667,5112.888888888889,0.00023013359983818435,0.00023013359983818435,0.00023013359983818435,25_19:0.005077164431859876; 25_33:0.01417089756001641,25_19:512; 25_33:512
26,168.7560037429722,73.14731623433367,4.789044344668117,-0.35119652918954236,0.04909999999999992,0.04459999999999997,0.0536,5112.888888888889,0.00064730878717173,0.00064730878717173,0.00064730878717173,26_23:0.02062013597428322; 26_37:0.05198869824867955,26_23:512; 26_37:561.7777777777777
27,112.15417268897345,26.739817024607284,4.699847297393582,-0.3353799400589933,0.28570000000000007,0.3406,0.2308,5112.888888888889,0.0008044053968890814,0.0008044053968890814,0.0008044053968890814,27_38:0.006790886126509216; 27_28:0.023836434909051185,27_38:512; 27_28:512
28,177.86092115203593,221.73975143431667,4.655715124493779,-0.33374888518003243,0.030000000000000027,0.046666666666666634,0.013333333333333334,5112.888888888889,0.00020771711239323307,0.00020771711239323307,0.00020771711239323307,28_29:0.01411190633496981; 28_27:0.023836434909051185,28_29:512; 28_27:561.7777777777777
29,173.89397593751804,260.65555737495106,4.73201612986318,-0.33396188672892185,0.046666666666666634,0.050000000000000044,0.043333333333333335,5112.888888888889,0.00016742899016329878,0.00016742899016329878,0.00016742899016329878,29_30:0.013684523203661814; 29_28:0.01411190633496981; 29_24:1,29_30:561.7777777777777; 29_28:561.7777777777777; 29_24:512
30,71.9753686596029,80.86787649272354,4.928044387356598,-0.33140862275545335,0.011199999999999988,0.01539999999999997,0.007,5112.888888888889,0.0006195440835215649,0.0006195440835215649,0.0006195440835215649,30_29:0.013684523203661814; 30_31:1,30_29:512; 30_31:512
31,159.9099692507244,171.0513491845315,4.657542497656521,-0.32975921860320717,0.10349999999999993,0.09919999999999995,0.1078,5112.888888888889,0.00018028804724475424,0.00018028804724475424,0.00018028804724475424,31_39:0.011217241080941798; 31_30:1; 31_32:1,31_39:561.7777777777777; 31_30:561.7777777777777; 31_32:561.7777777777777
32,151.75964771287383,158.37998823832774,4.9307940379882735,-0.3300330519125984,0.02200000000000002,0.019199999999999995,0.0248,5112.888888888889,0.00028830543032891994,0.00028830543032891994,0.00028830543032891994,32_33:0.012219727161565191; 32_31:1,32_33:561.7777777777777; 32_31:512
33,197.86083062973447,17.107162604337034,4.764755042794687,-0.3341477798477166,0.015000000000000013,0.01666666666666672,0.013333333333333334,5112.888888888889,0.00019631709759047715,0.00019631709759047715,0.00019631709759047715,33_34:0.019669746634452007; 33_32:0.012219727161565191; 33_25:0.01417089756001641,33_34:512; 33_32:512; 33_25:561.7777777777777
